"year.group","scenario","tbmean","tbmin","tbmax"
2012,"Status quo",25.8171695604,21.99810353,29.834307445
2012,"RCP 2.6",25.9916676008,22.096606515,29.873351685
2012,"RCP 4.5",25.8630264176,21.874737785,29.88044288
2012,"RCP 8.5",25.9074482548,22.118897405,29.80243267
2013,"Status quo",27.7642914036,24.0585938,31.685837
2013,"RCP 2.6",28.07620848808,24.301300365,31.935500205
2013,"RCP 4.5",27.9325608608,24.148783155,31.798713615
2013,"RCP 8.5",27.93030244676,24.313875185,31.719677595
2014,"Status quo",27.99037627036,24.157492249,32.16407827
2014,"RCP 2.6",28.49514097616,24.612688219,32.67199418
2014,"RCP 4.5",28.32601999664,24.4119547415,32.40992394
2014,"RCP 8.5",28.29987891688,24.6168502025,32.43634999
2015,"Status quo",27.46728735436,23.3466220845,32.126807075
2015,"RCP 2.6",28.07078966304,23.9377765775,32.811406805
2015,"RCP 4.5",27.8954150788,23.6730535375,32.452389785
2015,"RCP 8.5",27.86469355704,23.9247040465,32.55401383
2016,"Status quo",27.1772274088,22.905756794,32.29739644
2016,"RCP 2.6",27.8108298552,23.4953628345,33.07693309
2016,"RCP 4.5",27.65673108332,23.2030949115,32.668582125
2016,"RCP 8.5",27.62275093348,23.4895090885,32.827377835
2017,"Status quo",27.13665523128,22.7412250495,32.5818096
2017,"RCP 2.6",27.77265019244,23.3108848335,33.42574552
2017,"RCP 4.5",27.64836437096,23.113911093,33.02580956
2017,"RCP 8.5",27.61863097756,23.306822382,33.20147241
2018,"Status quo",27.14371488228,22.6868051445,32.76256677
2018,"RCP 2.6",27.76080127792,23.2245776445,33.62053769
2018,"RCP 4.5",27.6556824224,23.060576821,33.236132265
2018,"RCP 8.5",27.63879598812,23.242666146,33.470955725
2019,"Status quo",27.1479750316,22.656125541,32.8226824
2019,"RCP 2.6",27.7606224376,23.1797951825,33.726487235
2019,"RCP 4.5",27.63651714584,22.9748714915,33.34241496
2019,"RCP 8.5",27.62732364456,23.213737767,33.590249545
2020,"Status quo",27.15154564448,22.6587123125,32.84963769
2020,"RCP 2.6",27.77460419,23.178361106,33.78042857
2020,"RCP 4.5",27.6190382576,22.9476907585,33.41223873
2020,"RCP 8.5",27.6170715866,23.20997352,33.65653189
2021,"Status quo",27.15949848796,22.680177063,32.86297397
2021,"RCP 2.6",27.780350926,23.192062659,33.798714615
2021,"RCP 4.5",27.62175177796,22.947078534,33.462351445
2021,"RCP 8.5",27.61214344644,23.2171351375,33.698410805
2022,"Status quo",27.174830488,22.699635264,32.862517335
2022,"RCP 2.6",27.78644330452,23.183378406,33.810420895
2022,"RCP 4.5",27.63314374212,22.9646713355,33.50380719
2022,"RCP 8.5",27.63905351028,23.2541208325,33.726843835
2023,"Status quo",27.19441161972,22.7194099135,32.87304139
2023,"RCP 2.6",27.8122851858,23.2077716135,33.82624324
2023,"RCP 4.5",27.64501273964,22.9914367495,33.530173435
2023,"RCP 8.5",27.67673008164,23.2862489335,33.757712655
2024,"Status quo",27.21171022404,22.745012745,32.871040585
2024,"RCP 2.6",27.8473338672,23.25424872,33.847907745
2024,"RCP 4.5",27.63812731452,22.976991836,33.53687623
2024,"RCP 8.5",27.69685111184,23.3111790365,33.78846525
2025,"Status quo",27.2226607342,22.763208251,32.876404495
2025,"RCP 2.6",27.85917955764,23.27022258,33.85731994
2025,"RCP 4.5",27.61013604816,22.943951968,33.52230672
2025,"RCP 8.5",27.69459090892,23.3089849275,33.782532025
2026,"Status quo",27.22728815052,22.7690094705,32.88169135
2026,"RCP 2.6",27.86674236708,23.2758285875,33.869498015
2026,"RCP 4.5",27.5817436706,22.9137446145,33.50874319
2026,"RCP 8.5",27.64056618368,23.2620707695,33.741585165
2027,"Status quo",27.22779876388,22.766795016,32.8890623
2027,"RCP 2.6",27.86763304296,23.275861834,33.875031745
2027,"RCP 4.5",27.56496261764,22.896083908,33.516860945
2027,"RCP 8.5",27.5770391952,23.194063058,33.689037275
2028,"Status quo",27.22656915436,22.7616559585,32.89839688
2028,"RCP 2.6",27.86530477676,23.2683185395,33.87527297
2028,"RCP 4.5",27.57956228152,22.898177251,33.55572017
2028,"RCP 8.5",27.58340050496,23.1953940215,33.71834167
2029,"Status quo",27.22526403676,22.753580333,32.901155695
2029,"RCP 2.6",27.85630322656,23.253348986,33.8745519
2029,"RCP 4.5",27.59584822404,22.905668863,33.597998085
2029,"RCP 8.5",27.59052152576,23.1962165285,33.75341234
2030,"Status quo",27.2247372756,22.747276781,32.90870093
2030,"RCP 2.6",27.84533036972,23.237069255,33.87261983
2030,"RCP 4.5",27.569393054,22.8765147765,33.590613995
2030,"RCP 8.5",27.5843672334,23.1807392295,33.770634575
2031,"Status quo",27.22519432572,22.745400086,32.915960495
2031,"RCP 2.6",27.845947295,23.228540276,33.876755725
2031,"RCP 4.5",27.51200513576,22.822356156,33.539665255
2031,"RCP 8.5",27.5940101324,23.1817231345,33.80223964
2032,"Status quo",27.22642344692,22.7456624675,32.922637705
2032,"RCP 2.6",27.84901151996,23.224178604,33.87952468
2032,"RCP 4.5",27.42367092996,22.7450481275,33.45051723
2032,"RCP 8.5",27.5547535744,23.1420050295,33.774940165
2033,"Status quo",27.22802972164,22.746542192,32.929418065
2033,"RCP 2.6",27.83690326976,23.208884246,33.867117035
2033,"RCP 4.5",27.35679844812,22.6894064625,33.38278358
2033,"RCP 8.5",27.43745146276,23.034247047,33.655237755
2034,"Status quo",27.22962623724,22.7470424395,32.937138185
2034,"RCP 2.6",27.82714398704,23.1955410965,33.85542185
2034,"RCP 4.5",27.34535603636,22.679730446,33.370548745
2034,"RCP 8.5",27.29060402548,22.899165611,33.500618385
2035,"Status quo",27.23095001492,22.7495938,32.9406307
2035,"RCP 2.6",27.81155534824,23.178924466,33.83464562
2035,"RCP 4.5",27.32436020752,22.6581581955,33.348125235
2035,"RCP 8.5",27.23144507656,22.8476991305,33.432413295
2036,"Status quo",27.23190012292,22.750525671,32.942388075
2036,"RCP 2.6",27.77049083676,23.1375890955,33.78529892
2036,"RCP 4.5",27.27303767328,22.6090424905,33.29201014
2036,"RCP 8.5",27.1992220794,22.8216089025,33.39794889
2037,"Status quo",27.23250902604,22.7508469755,32.9436261
2037,"RCP 2.6",27.74285109872,23.106544173,33.75006611
2037,"RCP 4.5",27.12763547164,22.478664388,33.12976909
2037,"RCP 8.5",27.09669735412,22.727612146,33.290571805
2038,"Status quo",27.23288073516,22.750857486,32.944112395
2038,"RCP 2.6",27.73909217108,23.099946674,33.7422878
2038,"RCP 4.5",26.94649979292,22.3111553175,32.920232875
2038,"RCP 8.5",26.99734072272,22.637530821,33.18120155
2039,"Status quo",27.23313227504,22.7505131715,32.944190665
2039,"RCP 2.6",27.75387679764,23.1092766875,33.756039575
2039,"RCP 4.5",26.9332040016,22.302398037,32.892047555
2039,"RCP 8.5",26.7966266032,22.4581920205,32.9625326
2040,"Status quo",27.23335202012,22.749645386,32.944036725
2040,"RCP 2.6",27.74345680796,23.0950980425,33.745923905
2040,"RCP 4.5",26.9738487862,22.341594349,32.93442562
2040,"RCP 8.5",26.5668811526,22.246659246,32.71917801
2041,"Status quo",27.23358530476,22.7490422505,32.943832685
2041,"RCP 2.6",27.67470529676,23.0287670285,33.67301852
2041,"RCP 4.5",26.9271134202,22.2974534075,32.888120785
2041,"RCP 8.5",26.42972932564,22.125843219,32.577741565
2042,"Status quo",27.23383989572,22.7488170895,32.94369191
2042,"RCP 2.6",27.64013487788,22.9952967,33.62820683
2042,"RCP 4.5",26.813559359,22.1929640585,32.765829745
2042,"RCP 8.5",26.33890931716,22.045374418,32.484452495
2043,"Status quo",27.23410008868,22.7489025965,32.94366775
2043,"RCP 2.6",27.6935333222,23.042306601,33.68189423
2043,"RCP 4.5",26.6661908538,22.058234205,32.598023145
2043,"RCP 8.5",26.0869519402,21.8184825475,32.22353579
2044,"Status quo",27.2343438356,22.749172183,32.943761635
2044,"RCP 2.6",27.72717818728,23.0687195805,33.719268985
2044,"RCP 4.5",26.47504384356,21.889166644,32.375297115
2044,"RCP 8.5",25.68044888088,21.4628764995,31.7974927415
2045,"Status quo",27.23455411188,22.7494814185,32.943941435
2045,"RCP 2.6",27.76357308556,23.096162897,33.759154985
2045,"RCP 4.5",26.44047898752,21.867293292,32.323042615
2045,"RCP 8.5",25.57282859932,21.3694309795,31.6712609125
2046,"Status quo",27.23472404552,22.7497273565,32.944175965
2046,"RCP 2.6",27.75380153348,23.0846294525,33.75024162
2046,"RCP 4.5",26.54732198072,21.9676755285,32.43607196
2046,"RCP 8.5",25.66954769432,21.4551404495,31.773763816
2047,"Status quo",27.23485553692,22.749855923,32.944437325
2047,"RCP 2.6",27.6736001536,23.011071555,33.6620357
2047,"RCP 4.5",26.57968355348,21.9930060175,32.478441605
2047,"RCP 8.5",25.48016013748,21.277326358,31.5786828855
2048,"Status quo",27.23495837244,22.749869594,32.944683985
2048,"RCP 2.6",27.61431795924,22.9608065275,33.589179635
2048,"RCP 4.5",26.52574582452,21.9330134375,32.426038525
2048,"RCP 8.5",25.07708509108,20.906681512,31.147863355
2049,"Status quo",27.23504285036,22.749800162,32.9448976
2049,"RCP 2.6",27.60956727952,22.9590100705,33.575840585
2049,"RCP 4.5",26.35926753816,21.7771283715,32.242608385
2049,"RCP 8.5",24.90138204592,20.7559214565,30.9508708455
2050,"Status quo",27.23511789152,22.749694667,32.945056565
2050,"RCP 2.6",27.62473174936,22.9708742275,33.58702075
2050,"RCP 4.5",26.06433574232,21.516545792,31.9073621865
2050,"RCP 8.5",24.77387235216,20.642355397,30.817290437
2051,"Status quo",27.23518879204,22.749596157,32.945167045
