"year.group","scenario","tbmean","tbmin","tbmax","trophic_group"
2012,"RCP 2.6",2.3032042096,1.8824665,2.73483588,"Reef sharks"
2012,"RCP 4.5",2.2825102784,1.826289545,2.72873504,"Reef sharks"
2012,"RCP 8.5",2.2775017784,1.866355645,2.691053585,"Reef sharks"
2012,"Status quo",2.290849452,1.883625375,2.76069427,"Reef sharks"
2013,"RCP 2.6",2.8401061392,2.46367103,3.2383222,"Reef sharks"
2013,"RCP 4.5",2.8210890884,2.440639115,3.222982305,"Reef sharks"
2013,"RCP 8.5",2.8106066648,2.4502713,3.18203811,"Reef sharks"
2013,"Status quo",2.816254982,2.440779695,3.259238495,"Reef sharks"
2014,"RCP 2.6",3.1423413008,2.832056475,3.46269291,"Reef sharks"
2014,"RCP 4.5",3.1257784124,2.79866362,3.498070165,"Reef sharks"
2014,"RCP 8.5",3.1091372532,2.810945265,3.45798713,"Reef sharks"
2014,"Status quo",3.1086511912,2.772905615,3.480525895,"Reef sharks"
2015,"RCP 2.6",3.1323341588,2.729310855,3.551134585,"Reef sharks"
2015,"RCP 4.5",3.12009256,2.693256015,3.582119015,"Reef sharks"
2015,"RCP 8.5",3.10002315,2.722877935,3.51177661,"Reef sharks"
2015,"Status quo",3.1016329292,2.71414082,3.4835972,"Reef sharks"
2016,"RCP 2.6",3.0227119172,2.50136351,3.635387635,"Reef sharks"
2016,"RCP 4.5",3.0190668756,2.448127135,3.68332402,"Reef sharks"
2016,"RCP 8.5",2.9982026288,2.535340575,3.611073885,"Reef sharks"
2016,"Status quo",3.0007672824,2.556021705,3.52053817,"Reef sharks"
2017,"RCP 2.6",2.9464241268,2.32217979,3.80018802,"Reef sharks"
2017,"RCP 4.5",2.9500872764,2.319985,3.81943417,"Reef sharks"
2017,"RCP 8.5",2.9296047256,2.367726845,3.78412869,"Reef sharks"
2017,"Status quo",2.9338408036,2.419244645,3.65529689,"Reef sharks"
2018,"RCP 2.6",2.9033861708,2.223146965,3.931312465,"Reef sharks"
2018,"RCP 4.5",2.910642804,2.220936945,3.934852445,"Reef sharks"
2018,"RCP 8.5",2.8919148476,2.25918363,3.93022984,"Reef sharks"
2018,"Status quo",2.9009144988,2.336826645,3.78664403,"Reef sharks"
2019,"RCP 2.6",2.8897576312,2.174994535,4.03427693,"Reef sharks"
2019,"RCP 4.5",2.8957024084,2.156419735,4.04991481,"Reef sharks"
2019,"RCP 8.5",2.8783275612,2.216610585,4.048670515,"Reef sharks"
2019,"Status quo",2.8948363928,2.29998095,3.87862872,"Reef sharks"
2020,"RCP 2.6",2.898196198,2.16195212,4.114714265,"Reef sharks"
2020,"RCP 4.5",2.9014682696,2.14199186,4.165472345,"Reef sharks"
2020,"RCP 8.5",2.8849641908,2.203966455,4.152566525,"Reef sharks"
2020,"Status quo",2.9075486976,2.30470607,3.953362485,"Reef sharks"
2021,"RCP 2.6",2.9176857228,2.183540515,4.179358655,"Reef sharks"
2021,"RCP 4.5",2.9206795648,2.140507515,4.25852972,"Reef sharks"
2021,"RCP 8.5",2.9051611624,2.217059005,4.23930548,"Reef sharks"
2021,"Status quo",2.9295108856,2.332530275,4.02284044,"Reef sharks"
2022,"RCP 2.6",2.9418368592,2.192571335,4.232076875,"Reef sharks"
2022,"RCP 4.5",2.9426928092,2.165250255,4.336583585,"Reef sharks"
2022,"RCP 8.5",2.9303426968,2.237170955,4.30983799,"Reef sharks"
2022,"Status quo",2.9520269936,2.35366706,4.067039335,"Reef sharks"
2023,"RCP 2.6",2.9638067544,2.21204096,4.264179755,"Reef sharks"
2023,"RCP 4.5",2.9604735916,2.19256683,4.39250263,"Reef sharks"
2023,"RCP 8.5",2.9488691432,2.24988161,4.35666392,"Reef sharks"
2023,"Status quo",2.9690858652,2.365737455,4.10610496,"Reef sharks"
2024,"RCP 2.6",2.976813358,2.23536387,4.284881795,"Reef sharks"
2024,"RCP 4.5",2.9716265952,2.19419688,4.43231293,"Reef sharks"
2024,"RCP 8.5",2.9572402512,2.262812045,4.392864485,"Reef sharks"
2024,"Status quo",2.9780281068,2.377218595,4.118642035,"Reef sharks"
2025,"RCP 2.6",2.9807562108,2.242653435,4.296710285,"Reef sharks"
2025,"RCP 4.5",2.9748480596,2.19055772,4.45815705,"Reef sharks"
2025,"RCP 8.5",2.9594329776,2.26203824,4.40705657,"Reef sharks"
2025,"Status quo",2.9792772664,2.384271535,4.12705398,"Reef sharks"
2026,"RCP 2.6",2.9805166892,2.24024431,4.302507535,"Reef sharks"
2026,"RCP 4.5",2.9711606368,2.18308915,4.47730422,"Reef sharks"
2026,"RCP 8.5",2.957217228,2.26080066,4.42575091,"Reef sharks"
2026,"Status quo",2.9752837192,2.38427711,4.12985965,"Reef sharks"
2027,"RCP 2.6",2.9782509284,2.23640923,4.304271935,"Reef sharks"
2027,"RCP 4.5",2.963452156,2.17319608,4.49135042,"Reef sharks"
2027,"RCP 8.5",2.9500407728,2.246445995,4.43293094,"Reef sharks"
2027,"Status quo",2.9691056244,2.37901023,4.131407805,"Reef sharks"
2028,"RCP 2.6",2.97543538,2.227987825,4.30361125,"Reef sharks"
2028,"RCP 4.5",2.9545269376,2.154721645,4.498743125,"Reef sharks"
2028,"RCP 8.5",2.94088279,2.234610445,4.43903808,"Reef sharks"
2028,"Status quo",2.9632725248,2.373161855,4.13533043,"Reef sharks"
2029,"RCP 2.6",2.9732608176,2.21874193,4.304588335,"Reef sharks"
2029,"RCP 4.5",2.9473216488,2.14216209,4.504265815,"Reef sharks"
2029,"RCP 8.5",2.9322857304,2.22229794,4.44414789,"Reef sharks"
2029,"Status quo",2.9592566328,2.36556528,4.133864295,"Reef sharks"
2030,"RCP 2.6",2.9724366096,2.211315495,4.305564745,"Reef sharks"
2030,"RCP 4.5",2.9422954096,2.134346395,4.508385405,"Reef sharks"
2030,"RCP 8.5",2.9245347444,2.208642085,4.44744943,"Reef sharks"
2030,"Status quo",2.9574799564,2.359707075,4.138335825,"Reef sharks"
2031,"RCP 2.6",2.9732304016,2.20452913,4.30552353,"Reef sharks"
2031,"RCP 4.5",2.9387807184,2.126147255,4.510784875,"Reef sharks"
2031,"RCP 8.5",2.9191999596,2.198831175,4.45114244,"Reef sharks"
2031,"Status quo",2.9576159972,2.358192455,4.143128845,"Reef sharks"
2032,"RCP 2.6",2.9751585016,2.20054109,4.306036055,"Reef sharks"
2032,"RCP 4.5",2.9351992876,2.12137321,4.51202655,"Reef sharks"
2032,"RCP 8.5",2.9159309252,2.19377656,4.45421505,"Reef sharks"
2032,"Status quo",2.9589707904,2.358820935,4.148596045,"Reef sharks"
2033,"RCP 2.6",2.977248166,2.198935925,4.30739304,"Reef sharks"
2033,"RCP 4.5",2.930193946,2.117581775,4.51305963,"Reef sharks"
2033,"RCP 8.5",2.9111576456,2.1877456,4.453185995,"Reef sharks"
2033,"Status quo",2.9608086548,2.36022481,4.154710735,"Reef sharks"
2034,"RCP 2.6",2.9795128224,2.198439735,4.309632655,"Reef sharks"
2034,"RCP 4.5",2.925081812,2.112619135,4.51282846,"Reef sharks"
2034,"RCP 8.5",2.9027028648,2.179122045,4.452397885,"Reef sharks"
2034,"Status quo",2.9625613796,2.36116263,4.162258575,"Reef sharks"
2035,"RCP 2.6",2.9810976716,2.19740039,4.30970583,"Reef sharks"
2035,"RCP 4.5",2.9191584932,2.10542985,4.50889644,"Reef sharks"
2035,"RCP 8.5",2.8934347456,2.169405215,4.448444555,"Reef sharks"
2035,"Status quo",2.9639101236,2.364047505,4.16620674,"Reef sharks"
2036,"RCP 2.6",2.9815289392,2.19435459,4.30832568,"Reef sharks"
2036,"RCP 4.5",2.9122767484,2.096107225,4.503377035,"Reef sharks"
2036,"RCP 8.5",2.8839965044,2.159933935,4.4431136,"Reef sharks"
2036,"Status quo",2.9647673344,2.365263435,4.1687377,"Reef sharks"
2037,"RCP 2.6",2.9805348848,2.189021125,4.30481271,"Reef sharks"
2037,"RCP 4.5",2.9021357716,2.08286028,4.49476608,"Reef sharks"
2037,"RCP 8.5",2.8705979868,2.14612329,4.43254158,"Reef sharks"
2037,"Status quo",2.9652017708,2.36574329,4.17050213,"Reef sharks"
2038,"RCP 2.6",2.9788992564,2.1843059,4.30051484,"Reef sharks"
2038,"RCP 4.5",2.886861734,2.06561431,4.48125504,"Reef sharks"
2038,"RCP 8.5",2.8563458696,2.131701865,4.41839337,"Reef sharks"
2038,"Status quo",2.9653517356,2.365889365,4.171620695,"Reef sharks"
2039,"RCP 2.6",2.977372062,2.17969463,4.29599121,"Reef sharks"
2039,"RCP 4.5",2.8746081044,2.05369136,4.46941814,"Reef sharks"
2039,"RCP 8.5",2.8385831816,2.11493005,4.400693675,"Reef sharks"
2039,"Status quo",2.9653562124,2.36562806,4.172246945,"Reef sharks"
2040,"RCP 2.6",2.9756897384,2.175075065,4.29112101,"Reef sharks"
2040,"RCP 4.5",2.8665564888,2.046543695,4.459341245,"Reef sharks"
2040,"RCP 8.5",2.8161005372,2.08850665,4.3789107,"Reef sharks"
2040,"Status quo",2.9653165608,2.364766605,4.172542315,"Reef sharks"
2041,"RCP 2.6",2.9729479208,2.169778595,4.284934715,"Reef sharks"
2041,"RCP 4.5",2.8574326752,2.038300485,4.447209615,"Reef sharks"
2041,"RCP 8.5",2.7934595692,2.06448175,4.356690805,"Reef sharks"
2041,"Status quo",2.9652867904,2.36409329,4.17264595,"Reef sharks"
2042,"RCP 2.6",2.9688833184,2.163302065,4.27713344,"Reef sharks"
2042,"RCP 4.5",2.8457095476,2.02734931,4.432881925,"Reef sharks"
2042,"RCP 8.5",2.772113022,2.04295477,4.33495723,"Reef sharks"
2042,"Status quo",2.965282918,2.363731455,4.172667945,"Reef sharks"
2043,"RCP 2.6",2.9671760112,2.15894354,4.271619985,"Reef sharks"
2043,"RCP 4.5",2.8324937052,2.015138005,4.41775987,"Reef sharks"
2043,"RCP 8.5",2.7456583212,2.01765679,4.307963435,"Reef sharks"
2043,"Status quo",2.9652990296,2.363667955,4.17267991,"Reef sharks"
2044,"RCP 2.6",2.9675249768,2.15774468,4.26771222,"Reef sharks"
2044,"RCP 4.5",2.8153342272,1.999476215,4.399287505,"Reef sharks"
2044,"RCP 8.5",2.7087994852,1.9806651,4.27110729,"Reef sharks"
2044,"Status quo",2.9653226372,2.3638066,4.1727237,"Reef sharks"
2045,"RCP 2.6",2.96933406,2.15895091,4.265148215,"Reef sharks"
2045,"RCP 4.5",2.8004524192,1.98638821,4.3825184,"Reef sharks"
2045,"RCP 8.5",2.6779668344,1.95034642,4.240853725,"Reef sharks"
2045,"Status quo",2.9653443992,2.36402812,4.172809655,"Reef sharks"
2046,"RCP 2.6",2.9719068592,2.160980925,4.26376913,"Reef sharks"
2046,"RCP 4.5",2.7930358776,1.98074827,4.370967395,"Reef sharks"
2046,"RCP 8.5",2.6600384388,1.934579685,4.22258667,"Reef sharks"
2046,"Status quo",2.9653612868,2.36423336,4.1729348,"Reef sharks"
2047,"RCP 2.6",2.9731563708,2.16171965,4.26141919,"Reef sharks"
2047,"RCP 4.5",2.7869212932,1.97389812,4.35901806,"Reef sharks"
2047,"RCP 8.5",2.6363380088,1.915053215,4.19421472,"Reef sharks"
2047,"Status quo",2.965375434,2.36436521,4.173086585,"Reef sharks"
2048,"RCP 2.6",2.9726467828,2.16014751,4.257733105,"Reef sharks"
2048,"RCP 4.5",2.7785439456,1.96499555,4.345247715,"Reef sharks"
2048,"RCP 8.5",2.600487202,1.88095231,4.15341802,"Reef sharks"
2048,"Status quo",2.9653911308,2.3644112,4.173245355,"Reef sharks"
2049,"RCP 2.6",2.9715574452,2.15714967,4.253813175,"Reef sharks"
2049,"RCP 4.5",2.7667910384,1.95353451,4.33002619,"Reef sharks"
2049,"RCP 8.5",2.5699344128,1.847931625,4.11659668,"Reef sharks"
2049,"Status quo",2.9654116216,2.364389675,4.173396405,"Reef sharks"
2050,"RCP 2.6",2.969749008,2.15316662,4.24935372,"Reef sharks"
2050,"RCP 4.5",2.7475499732,1.936482575,4.30993702,"Reef sharks"
2050,"RCP 8.5",2.5445351232,1.822979955,4.08483219,"Reef sharks"
2050,"Status quo",2.9654377412,2.364331535,4.173526205,"Reef sharks"
2051,"RCP 2.6",2.9674983144,2.148561955,4.24471912,"Reef sharks"
2051,"RCP 4.5",2.723916986,1.917913915,4.286922625,"Reef sharks"
2051,"RCP 8.5",2.508528082,1.787501075,4.04383415,"Reef sharks"
2051,"Status quo",2.9654676916,2.364269795,4.173629685,"Reef sharks"
2052,"RCP 2.6",2.9666273768,2.145436725,4.2415821,"Reef sharks"
2052,"RCP 4.5",2.704245094,1.899422905,4.266825705,"Reef sharks"
2052,"RCP 8.5",2.4684285628,1.746531365,3.998618255,"Reef sharks"
2052,"Status quo",2.9654979848,2.36422478,4.17370409,"Reef sharks"
2053,"RCP 2.6",2.9653466992,2.142962145,4.237675555,"Reef sharks"
2053,"RCP 4.5",2.6867886924,1.883753485,4.24665936,"Reef sharks"
2053,"RCP 8.5",2.4241522188,1.702776455,3.94907385,"Reef sharks"
2053,"Status quo",2.965524978,2.364204795,4.173752145,"Reef sharks"
2054,"RCP 2.6",2.9634464516,2.140021125,4.23299507,"Reef sharks"
2054,"RCP 4.5",2.667948352,1.868681275,4.22399648,"Reef sharks"
2054,"RCP 8.5",2.3746188712,1.64820828,3.8939365,"Reef sharks"
2054,"Status quo",2.9655459732,2.364207825,4.173778855,"Reef sharks"
2055,"RCP 2.6",2.9624725252,2.137689725,4.229286115,"Reef sharks"
2055,"RCP 4.5",2.6489899608,1.852340575,4.201138445,"Reef sharks"
2055,"RCP 8.5",2.3302555836,1.60062973,3.842329785,"Reef sharks"
2055,"Status quo",2.965559856,2.364224915,4.17379,"Reef sharks"
2056,"RCP 2.6",2.9619398472,2.13619287,4.22584574,"Reef sharks"
2056,"RCP 4.5",2.6281688552,1.833935075,4.17626345,"Reef sharks"
2056,"RCP 8.5",2.2881301652,1.55968403,3.791443915,"Reef sharks"
2056,"Status quo",2.965567098,2.36424574,4.17379041,"Reef sharks"
2057,"RCP 2.6",2.9613005548,2.13483622,4.22231007,"Reef sharks"
2057,"RCP 4.5",2.619413768,1.82513865,4.16189398,"Reef sharks"
2057,"RCP 8.5",2.243996544,1.51442084,3.739091425,"Reef sharks"
2057,"Status quo",2.965569148,2.364262265,4.1737873,"Reef sharks"
2058,"RCP 2.6",2.9617002576,2.13429343,4.219953915,"Reef sharks"
2058,"RCP 4.5",2.6149995008,1.819111195,4.14997534,"Reef sharks"
2058,"RCP 8.5",2.1909167944,1.46555164,3.678449105,"Reef sharks"
2058,"Status quo",2.9655680276,2.364270925,4.17378322,"Reef sharks"
2059,"RCP 2.6",2.9621275924,2.13377829,4.217838855,"Reef sharks"
2059,"RCP 4.5",2.5984779088,1.80468405,4.128224235,"Reef sharks"
2059,"RCP 8.5",2.1340594476,1.40922747,3.61326728,"Reef sharks"
2059,"Status quo",2.9655658272,2.364271775,4.17378044,"Reef sharks"
2060,"RCP 2.6",2.9615968768,2.132223555,4.21511552,"Reef sharks"
2060,"RCP 4.5",2.5707688744,1.77945056,4.10007855,"Reef sharks"
2060,"RCP 8.5",2.0873942652,1.356454965,3.557507095,"Reef sharks"
2060,"Status quo",2.96556392,2.36426742,4.173780075,"Reef sharks"
2061,"RCP 2.6",2.961520772,2.13091698,4.213118495,"Reef sharks"
2061,"RCP 4.5",2.5447953704,1.758155845,4.07514803,"Reef sharks"
2061,"RCP 8.5",2.037195794,1.301216365,3.499035375,"Reef sharks"
2061,"Status quo",2.9655630608,2.364259845,4.173782865,"Reef sharks"
2062,"RCP 2.6",2.9609753928,2.12935028,4.21060601,"Reef sharks"
2062,"RCP 4.5",2.5304247764,1.741468305,4.05891958,"Reef sharks"
2062,"RCP 8.5",1.980817208,1.24278974,3.4359389,"Reef sharks"
2062,"Status quo",2.965563588,2.364252995,4.173787185,"Reef sharks"
2063,"RCP 2.6",2.9598813312,2.127225865,4.20751187,"Reef sharks"
2063,"RCP 4.5",2.5165858768,1.727587225,4.04027852,"Reef sharks"
2063,"RCP 8.5",1.9239140688,1.192857035,3.37308768,"Reef sharks"
2063,"Status quo",2.9655653008,2.364248055,4.17379179,"Reef sharks"
2064,"RCP 2.6",2.962259146,2.128501715,4.20777762,"Reef sharks"
2064,"RCP 4.5",2.4987260784,1.712559515,4.017497295,"Reef sharks"
2064,"RCP 8.5",1.86368347304,1.137726265,3.305072475,"Reef sharks"
2064,"Status quo",2.9655677504,2.364246295,4.173797205,"Reef sharks"
2065,"RCP 2.6",2.9654925572,2.131431475,4.20879341,"Reef sharks"
2065,"RCP 4.5",2.479772028,1.69541549,3.994756645,"Reef sharks"
2065,"RCP 8.5",1.811051474,1.08265497,3.24545104,"Reef sharks"
2065,"Status quo",2.9655704212,2.364247225,4.1738034,"Reef sharks"
2066,"RCP 2.6",2.9644390484,2.129417105,4.20614783,"Reef sharks"
2066,"RCP 4.5",2.4631305412,1.67952199,3.97467134,"Reef sharks"
