"scenario","year","trials","biomass","species"
"Status quo",2050,"./mc_output_trial0001",0.4062657,"Negaprion brevirostris"
"RCP 2.6",2050,"./mc_output_trial0001",0.2596344,"Negaprion brevirostris"
"RCP 4.5",2050,"./mc_output_trial0001",0.274997,"Negaprion brevirostris"
"RCP 8.5",2050,"./mc_output_trial0001",0.2523294,"Negaprion brevirostris"
"Status quo",2050,"./mc_output_trial0001",4.045125,"Ginglymostoma cirratum"
"RCP 2.6",2050,"./mc_output_trial0001",2.213226,"Ginglymostoma cirratum"
"RCP 4.5",2050,"./mc_output_trial0001",2.158883,"Ginglymostoma cirratum"
"RCP 8.5",2050,"./mc_output_trial0001",2.372077,"Ginglymostoma cirratum"
"Status quo",2050,"./mc_output_trial0001",1.860294,"Lutjanus jocu"
"RCP 2.6",2050,"./mc_output_trial0001",1.700603,"Lutjanus jocu"
"RCP 4.5",2050,"./mc_output_trial0001",1.685988,"Lutjanus jocu"
"RCP 8.5",2050,"./mc_output_trial0001",1.434486,"Lutjanus jocu"
"Status quo",2050,"./mc_output_trial0001",0.3926851,"Cephalopholis fulva"
"RCP 2.6",2050,"./mc_output_trial0001",0.4181937,"Cephalopholis fulva"
"RCP 4.5",2050,"./mc_output_trial0001",0.3891469,"Cephalopholis fulva"
"RCP 8.5",2050,"./mc_output_trial0001",0.3674818,"Cephalopholis fulva"
"Status quo",2050,"./mc_output_trial0001",3.134979,"Carangidae"
"RCP 2.6",2050,"./mc_output_trial0001",3.033689,"Carangidae"
"RCP 4.5",2050,"./mc_output_trial0001",3.291915,"Carangidae"
"RCP 8.5",2050,"./mc_output_trial0001",3.03063,"Carangidae"
"Status quo",2050,"./mc_output_trial0001",8.666026,"Acanthurus spp."
"RCP 2.6",2050,"./mc_output_trial0001",7.309439,"Acanthurus spp."
"RCP 4.5",2050,"./mc_output_trial0001",9.891328,"Acanthurus spp."
"RCP 8.5",2050,"./mc_output_trial0001",8.830882,"Acanthurus spp."
"Status quo",2050,"./mc_output_trial0001",0.4191969,"Stegastes rocasensis"
"RCP 2.6",2050,"./mc_output_trial0001",0.4958222,"Stegastes rocasensis"
"RCP 4.5",2050,"./mc_output_trial0001",0.4297769,"Stegastes rocasensis"
"RCP 8.5",2050,"./mc_output_trial0001",0.4642605,"Stegastes rocasensis"
"Status quo",2050,"./mc_output_trial0001",0.1098135,"Thalassoma noronhanum"
"RCP 2.6",2050,"./mc_output_trial0001",0.05915885,"Thalassoma noronhanum"
"RCP 4.5",2050,"./mc_output_trial0001",0.07892531,"Thalassoma noronhanum"
"RCP 8.5",2050,"./mc_output_trial0001",0.06647056,"Thalassoma noronhanum"
"Status quo",2050,"./mc_output_trial0001",0.9307433,"Abudefduf saxatilis"
"RCP 2.6",2050,"./mc_output_trial0001",0.920571,"Abudefduf saxatilis"
"RCP 4.5",2050,"./mc_output_trial0001",0.8809211,"Abudefduf saxatilis"
"RCP 8.5",2050,"./mc_output_trial0001",0.7063813,"Abudefduf saxatilis"
"Status quo",2050,"./mc_output_trial0001",1.355539,"Sparisoma spp."
"RCP 2.6",2050,"./mc_output_trial0001",1.201571,"Sparisoma spp."
"RCP 4.5",2050,"./mc_output_trial0001",1.201855,"Sparisoma spp."
"RCP 8.5",2050,"./mc_output_trial0001",1.206237,"Sparisoma spp."
"Status quo",2050,"./mc_output_trial0001",0.6085612,"Melichthys niger"
"RCP 2.6",2050,"./mc_output_trial0001",0.5852807,"Melichthys niger"
"RCP 4.5",2050,"./mc_output_trial0001",0.4600862,"Melichthys niger"
"RCP 8.5",2050,"./mc_output_trial0001",0.51867,"Melichthys niger"
"Status quo",2050,"./mc_output_trial0001",0.4746753,"Kyphosus spp."
"RCP 2.6",2050,"./mc_output_trial0001",0.4443395,"Kyphosus spp."
"RCP 4.5",2050,"./mc_output_trial0001",0.3623258,"Kyphosus spp."
"RCP 8.5",2050,"./mc_output_trial0001",0.3269596,"Kyphosus spp."
"Status quo",2050,"./mc_output_trial0001",1.420448,"Mulloidichthys martinicus"
"RCP 2.6",2050,"./mc_output_trial0001",1.167637,"Mulloidichthys martinicus"
"RCP 4.5",2050,"./mc_output_trial0001",1.203006,"Mulloidichthys martinicus"
"RCP 8.5",2050,"./mc_output_trial0001",0.8434405,"Mulloidichthys martinicus"
"Status quo",2050,"./mc_output_trial0001",2.840387,"Holocentrus adscensionis"
"RCP 2.6",2050,"./mc_output_trial0001",3.405209,"Holocentrus adscensionis"
"RCP 4.5",2050,"./mc_output_trial0001",3.014416,"Holocentrus adscensionis"
"RCP 8.5",2050,"./mc_output_trial0001",3.257536,"Holocentrus adscensionis"
"Status quo",2050,"./mc_output_trial0001",0.9631097,"Haemulidae"
"RCP 2.6",2050,"./mc_output_trial0001",1.377655,"Haemulidae"
"RCP 4.5",2050,"./mc_output_trial0001",1.00216,"Haemulidae"
"RCP 8.5",2050,"./mc_output_trial0001",0.9076956,"Haemulidae"
"Status quo",2050,"./mc_output_trial0001",0.5756984,"Cryptobenthic reef fishes"
"RCP 2.6",2050,"./mc_output_trial0001",0.2879003,"Cryptobenthic reef fishes"
"RCP 4.5",2050,"./mc_output_trial0001",0.2103295,"Cryptobenthic reef fishes"
"RCP 8.5",2050,"./mc_output_trial0001",0.1470447,"Cryptobenthic reef fishes"
"Status quo",2050,"./mc_output_trial0002",0.4140768,"Negaprion brevirostris"
"RCP 2.6",2050,"./mc_output_trial0002",0.5958171,"Negaprion brevirostris"
"RCP 4.5",2050,"./mc_output_trial0002",0.3433113,"Negaprion brevirostris"
"RCP 8.5",2050,"./mc_output_trial0002",0.2333683,"Negaprion brevirostris"
"Status quo",2050,"./mc_output_trial0002",3.03665,"Ginglymostoma cirratum"
"RCP 2.6",2050,"./mc_output_trial0002",2.887122,"Ginglymostoma cirratum"
"RCP 4.5",2050,"./mc_output_trial0002",1.748468,"Ginglymostoma cirratum"
"RCP 8.5",2050,"./mc_output_trial0002",1.748817,"Ginglymostoma cirratum"
"Status quo",2050,"./mc_output_trial0002",1.686421,"Lutjanus jocu"
"RCP 2.6",2050,"./mc_output_trial0002",1.652819,"Lutjanus jocu"
"RCP 4.5",2050,"./mc_output_trial0002",1.6694,"Lutjanus jocu"
"RCP 8.5",2050,"./mc_output_trial0002",1.597196,"Lutjanus jocu"
"Status quo",2050,"./mc_output_trial0002",0.4739755,"Cephalopholis fulva"
"RCP 2.6",2050,"./mc_output_trial0002",0.3858708,"Cephalopholis fulva"
"RCP 4.5",2050,"./mc_output_trial0002",0.366085,"Cephalopholis fulva"
"RCP 8.5",2050,"./mc_output_trial0002",0.3488818,"Cephalopholis fulva"
"Status quo",2050,"./mc_output_trial0002",3.169252,"Carangidae"
"RCP 2.6",2050,"./mc_output_trial0002",3.495198,"Carangidae"
"RCP 4.5",2050,"./mc_output_trial0002",2.957597,"Carangidae"
"RCP 8.5",2050,"./mc_output_trial0002",2.993175,"Carangidae"
"Status quo",2050,"./mc_output_trial0002",7.367157,"Acanthurus spp."
"RCP 2.6",2050,"./mc_output_trial0002",9.016973,"Acanthurus spp."
"RCP 4.5",2050,"./mc_output_trial0002",9.319308,"Acanthurus spp."
"RCP 8.5",2050,"./mc_output_trial0002",9.134777,"Acanthurus spp."
"Status quo",2050,"./mc_output_trial0002",0.4050221,"Stegastes rocasensis"
"RCP 2.6",2050,"./mc_output_trial0002",0.3978147,"Stegastes rocasensis"
"RCP 4.5",2050,"./mc_output_trial0002",0.4668554,"Stegastes rocasensis"
"RCP 8.5",2050,"./mc_output_trial0002",0.3892201,"Stegastes rocasensis"
"Status quo",2050,"./mc_output_trial0002",0.1079175,"Thalassoma noronhanum"
"RCP 2.6",2050,"./mc_output_trial0002",0.03989728,"Thalassoma noronhanum"
"RCP 4.5",2050,"./mc_output_trial0002",0.1104729,"Thalassoma noronhanum"
"RCP 8.5",2050,"./mc_output_trial0002",0.04328182,"Thalassoma noronhanum"
"Status quo",2050,"./mc_output_trial0002",0.8679624,"Abudefduf saxatilis"
"RCP 2.6",2050,"./mc_output_trial0002",0.7603707,"Abudefduf saxatilis"
"RCP 4.5",2050,"./mc_output_trial0002",1.097599,"Abudefduf saxatilis"
"RCP 8.5",2050,"./mc_output_trial0002",0.8819346,"Abudefduf saxatilis"
"Status quo",2050,"./mc_output_trial0002",1.638923,"Sparisoma spp."
"RCP 2.6",2050,"./mc_output_trial0002",1.42038,"Sparisoma spp."
"RCP 4.5",2050,"./mc_output_trial0002",1.263216,"Sparisoma spp."
"RCP 8.5",2050,"./mc_output_trial0002",1.134497,"Sparisoma spp."
"Status quo",2050,"./mc_output_trial0002",0.7170203,"Melichthys niger"
"RCP 2.6",2050,"./mc_output_trial0002",0.5511552,"Melichthys niger"
"RCP 4.5",2050,"./mc_output_trial0002",0.5066214,"Melichthys niger"
"RCP 8.5",2050,"./mc_output_trial0002",0.4262132,"Melichthys niger"
"Status quo",2050,"./mc_output_trial0002",0.4227253,"Kyphosus spp."
"RCP 2.6",2050,"./mc_output_trial0002",0.4121641,"Kyphosus spp."
"RCP 4.5",2050,"./mc_output_trial0002",0.3898534,"Kyphosus spp."
"RCP 8.5",2050,"./mc_output_trial0002",0.3593854,"Kyphosus spp."
"Status quo",2050,"./mc_output_trial0002",2.183709,"Mulloidichthys martinicus"
"RCP 2.6",2050,"./mc_output_trial0002",8.942734,"Mulloidichthys martinicus"
"RCP 4.5",2050,"./mc_output_trial0002",2.205456,"Mulloidichthys martinicus"
"RCP 8.5",2050,"./mc_output_trial0002",1.066571,"Mulloidichthys martinicus"
"Status quo",2050,"./mc_output_trial0002",3.518995,"Holocentrus adscensionis"
"RCP 2.6",2050,"./mc_output_trial0002",3.338623,"Holocentrus adscensionis"
"RCP 4.5",2050,"./mc_output_trial0002",3.406953,"Holocentrus adscensionis"
"RCP 8.5",2050,"./mc_output_trial0002",2.988431,"Holocentrus adscensionis"
"Status quo",2050,"./mc_output_trial0002",0.9854715,"Haemulidae"
"RCP 2.6",2050,"./mc_output_trial0002",1.132843,"Haemulidae"
"RCP 4.5",2050,"./mc_output_trial0002",1.081016,"Haemulidae"
