"scenario","year","trials","biomass","species"
"Status quo",2050,"./mc_output_trial0001",0.02811206,"Sea birds"
"RCP 2.6",2050,"./mc_output_trial0001",0.02835429,"Sea birds"
"RCP 4.5",2050,"./mc_output_trial0001",0.02379706,"Sea birds"
"RCP 8.5",2050,"./mc_output_trial0001",0.02771738,"Sea birds"
"Status quo",2050,"./mc_output_trial0001",0.07241637,"Turtles"
"RCP 2.6",2050,"./mc_output_trial0001",0.07405703,"Turtles"
"RCP 4.5",2050,"./mc_output_trial0001",0.05986278,"Turtles"
"RCP 8.5",2050,"./mc_output_trial0001",0.05633691,"Turtles"
"Status quo",2050,"./mc_output_trial0001",0.351661,"Cephalopoda"
"RCP 2.6",2050,"./mc_output_trial0001",0.2142314,"Cephalopoda"
"RCP 4.5",2050,"./mc_output_trial0001",0.1856753,"Cephalopoda"
"RCP 8.5",2050,"./mc_output_trial0001",0.1215612,"Cephalopoda"
"Status quo",2050,"./mc_output_trial0001",1.365337,"Panulirus spp."
"RCP 2.6",2050,"./mc_output_trial0001",3.209583,"Panulirus spp."
"RCP 4.5",2050,"./mc_output_trial0001",2.246866,"Panulirus spp."
"RCP 8.5",2050,"./mc_output_trial0001",1.405179,"Panulirus spp."
"Status quo",2050,"./mc_output_trial0001",14.71933,"Benthic macroinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0001",21.96675,"Benthic macroinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0001",18.3897,"Benthic macroinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0001",15.59155,"Benthic macroinvertebrates"
"Status quo",2050,"./mc_output_trial0001",24.01385,"Benthic microinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0001",22.74662,"Benthic microinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0001",24.27933,"Benthic microinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0001",23.70299,"Benthic microinvertebrates"
"Status quo",2050,"./mc_output_trial0001",0.7217069,"Siderastrea stellata"
"RCP 2.6",2050,"./mc_output_trial0001",0.6260024,"Siderastrea stellata"
"RCP 4.5",2050,"./mc_output_trial0001",0.5067298,"Siderastrea stellata"
"RCP 8.5",2050,"./mc_output_trial0001",0.328778,"Siderastrea stellata"
"Status quo",2050,"./mc_output_trial0001",0.2109337,"Zooplankton"
"RCP 2.6",2050,"./mc_output_trial0001",0.2049441,"Zooplankton"
"RCP 4.5",2050,"./mc_output_trial0001",0.2799611,"Zooplankton"
"RCP 8.5",2050,"./mc_output_trial0001",0.2460879,"Zooplankton"
"Status quo",2050,"./mc_output_trial0001",0.1135632,"Phytoplankton"
"RCP 2.6",2050,"./mc_output_trial0001",0.1135188,"Phytoplankton"
"RCP 4.5",2050,"./mc_output_trial0001",0.1065402,"Phytoplankton"
"RCP 8.5",2050,"./mc_output_trial0001",0.1173153,"Phytoplankton"
"Status quo",2050,"./mc_output_trial0001",195.5064,"Digenea simplex"
"RCP 2.6",2050,"./mc_output_trial0001",203.955,"Digenea simplex"
"RCP 4.5",2050,"./mc_output_trial0001",205.573,"Digenea simplex"
"RCP 8.5",2050,"./mc_output_trial0001",202.675,"Digenea simplex"
"Status quo",2050,"./mc_output_trial0001",815.2354,"Other algal turf"
"RCP 2.6",2050,"./mc_output_trial0001",818.2014,"Other algal turf"
"RCP 4.5",2050,"./mc_output_trial0001",747.1094,"Other algal turf"
"RCP 8.5",2050,"./mc_output_trial0001",773.3782,"Other algal turf"
"Status quo",2050,"./mc_output_trial0002",0.02403525,"Sea birds"
"RCP 2.6",2050,"./mc_output_trial0002",0.03175699,"Sea birds"
"RCP 4.5",2050,"./mc_output_trial0002",0.02031139,"Sea birds"
"RCP 8.5",2050,"./mc_output_trial0002",0.0268816,"Sea birds"
"Status quo",2050,"./mc_output_trial0002",0.09157909,"Turtles"
"RCP 2.6",2050,"./mc_output_trial0002",0.06791589,"Turtles"
"RCP 4.5",2050,"./mc_output_trial0002",0.05934444,"Turtles"
"RCP 8.5",2050,"./mc_output_trial0002",0.05462982,"Turtles"
"Status quo",2050,"./mc_output_trial0002",0.3965992,"Cephalopoda"
"RCP 2.6",2050,"./mc_output_trial0002",0.1054256,"Cephalopoda"
"RCP 4.5",2050,"./mc_output_trial0002",0.187672,"Cephalopoda"
"RCP 8.5",2050,"./mc_output_trial0002",0.155956,"Cephalopoda"
"Status quo",2050,"./mc_output_trial0002",5.520247,"Panulirus spp."
"RCP 2.6",2050,"./mc_output_trial0002",2.372804,"Panulirus spp."
"RCP 4.5",2050,"./mc_output_trial0002",1.598089,"Panulirus spp."
"RCP 8.5",2050,"./mc_output_trial0002",1.136897,"Panulirus spp."
"Status quo",2050,"./mc_output_trial0002",28.2007,"Benthic macroinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0002",26.53298,"Benthic macroinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0002",14.36755,"Benthic macroinvertebrates"
"RCP 8.5",2050,"./mc_output_trial0002",12.98363,"Benthic macroinvertebrates"
"Status quo",2050,"./mc_output_trial0002",28.47147,"Benthic microinvertebrates"
"RCP 2.6",2050,"./mc_output_trial0002",31.27933,"Benthic microinvertebrates"
"RCP 4.5",2050,"./mc_output_trial0002",23.16238,"Benthic microinvertebrates"
