"scenario","year","biomass","species"
"Status quo",2100,0.02811215,"Sea birds"
"RCP 2.6",2100,0.02844012,"Sea birds"
"RCP 4.5",2100,0.02169644,"Sea birds"
"RCP 8.5",2100,2.910895e-05,"Sea birds"
"Status quo",2100,0.07241572,"Turtles"
"RCP 2.6",2100,0.07337485,"Turtles"
"RCP 4.5",2100,0.03862143,"Turtles"
"RCP 8.5",2100,0.0001131223,"Turtles"
"Status quo",2100,0.3516616,"Cephalopoda"
"RCP 2.6",2100,0.2173298,"Cephalopoda"
"RCP 4.5",2100,0.1404154,"Cephalopoda"
"RCP 8.5",2100,0.1395661,"Cephalopoda"
"Status quo",2100,1.365214,"Panulirus spp."
"RCP 2.6",2100,3.215853,"Panulirus spp."
"RCP 4.5",2100,0.7927092,"Panulirus spp."
"RCP 8.5",2100,2.113857e-14,"Panulirus spp."
"Status quo",2100,14.71939,"Benthic macroinvertebrates"
"RCP 2.6",2100,21.99283,"Benthic macroinvertebrates"
"RCP 4.5",2100,16.30361,"Benthic macroinvertebrates"
"RCP 8.5",2100,1.848726,"Benthic macroinvertebrates"
"Status quo",2100,24.0139,"Benthic microinvertebrates"
"RCP 2.6",2100,22.79733,"Benthic microinvertebrates"
"RCP 4.5",2100,22.18902,"Benthic microinvertebrates"
"RCP 8.5",2100,7.09622,"Benthic microinvertebrates"
"Status quo",2100,0.7217068,"Siderastrea stellata"
"RCP 2.6",2100,0.6355328,"Siderastrea stellata"
"RCP 4.5",2100,0.2420418,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2109337,"Zooplankton"
"RCP 2.6",2100,0.203979,"Zooplankton"
"RCP 4.5",2100,0.321647,"Zooplankton"
"RCP 8.5",2100,0.3871155,"Zooplankton"
"Status quo",2100,0.1135632,"Phytoplankton"
"RCP 2.6",2100,0.1136671,"Phytoplankton"
"RCP 4.5",2100,0.09694482,"Phytoplankton"
"RCP 8.5",2100,0.04992254,"Phytoplankton"
"Status quo",2100,195.5064,"Digenea simplex"
"RCP 2.6",2100,204.0141,"Digenea simplex"
"RCP 4.5",2100,192.5996,"Digenea simplex"
"RCP 8.5",2100,96.68985,"Digenea simplex"
"Status quo",2100,815.2354,"Other algal turf"
"RCP 2.6",2100,818.3873,"Other algal turf"
"RCP 4.5",2100,719.0013,"Other algal turf"
"RCP 8.5",2100,503.5549,"Other algal turf"
"Status quo",2100,0.02403518,"Sea birds"
"RCP 2.6",2100,0.03191879,"Sea birds"
"RCP 4.5",2100,0.01817114,"Sea birds"
"RCP 8.5",2100,7.083553e-05,"Sea birds"
"Status quo",2100,0.09157544,"Turtles"
"RCP 2.6",2100,0.06692469,"Turtles"
"RCP 4.5",2100,0.03546836,"Turtles"
"RCP 8.5",2100,0.0001875093,"Turtles"
"Status quo",2100,0.3966057,"Cephalopoda"
"RCP 2.6",2100,0.1090603,"Cephalopoda"
"RCP 4.5",2100,0.1440836,"Cephalopoda"
"RCP 8.5",2100,6.705502e-06,"Cephalopoda"
"Status quo",2100,5.520271,"Panulirus spp."
"RCP 2.6",2100,2.365842,"Panulirus spp."
"RCP 4.5",2100,0.5542435,"Panulirus spp."
"RCP 8.5",2100,5.706135e-12,"Panulirus spp."
"Status quo",2100,28.20089,"Benthic macroinvertebrates"
"RCP 2.6",2100,26.58802,"Benthic macroinvertebrates"
"RCP 4.5",2100,12.88603,"Benthic macroinvertebrates"
"RCP 8.5",2100,4.668357,"Benthic macroinvertebrates"
"Status quo",2100,28.47143,"Benthic microinvertebrates"
"RCP 2.6",2100,31.38917,"Benthic microinvertebrates"
"RCP 4.5",2100,20.0304,"Benthic microinvertebrates"
"RCP 8.5",2100,3.690585,"Benthic microinvertebrates"
"Status quo",2100,0.811098,"Siderastrea stellata"
"RCP 2.6",2100,0.6165788,"Siderastrea stellata"
"RCP 4.5",2100,0.3436201,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
