"scenario","trials","biomass"
"RCP 2.6","./mc_output_trial0001",24.92079715
"RCP 2.6","./mc_output_trial0002",35.58879887
"RCP 2.6","./mc_output_trial0003",26.39211629
"RCP 2.6","./mc_output_trial0004",26.23702384
"RCP 2.6","./mc_output_trial0005",27.75994652
"RCP 2.6","./mc_output_trial0006",26.81022723
"RCP 2.6","./mc_output_trial0007",27.4197836
"RCP 2.6","./mc_output_trial0008",29.2790372
"RCP 2.6","./mc_output_trial0009",28.33260168
"RCP 2.6","./mc_output_trial0010",25.1398801
"RCP 2.6","./mc_output_trial0011",27.19621105
"RCP 2.6","./mc_output_trial0012",26.6789782
"RCP 2.6","./mc_output_trial0013",29.0809947
"RCP 2.6","./mc_output_trial0014",26.6080306
"RCP 2.6","./mc_output_trial0015",27.72878691
"RCP 2.6","./mc_output_trial0016",25.19464933
"RCP 2.6","./mc_output_trial0017",26.86373526
"RCP 2.6","./mc_output_trial0018",40.58953437
"RCP 2.6","./mc_output_trial0019",25.87412808
"RCP 2.6","./mc_output_trial0020",29.56987808
"RCP 2.6","./mc_output_trial0021",26.84609532
"RCP 2.6","./mc_output_trial0022",27.5018007
"RCP 2.6","./mc_output_trial0023",27.6168729
"RCP 2.6","./mc_output_trial0024",26.2730468
"RCP 2.6","./mc_output_trial0025",27.3328892
"RCP 2.6","./mc_output_trial0026",29.93128745
"RCP 2.6","./mc_output_trial0027",27.106641
"RCP 2.6","./mc_output_trial0028",26.58685848
"RCP 2.6","./mc_output_trial0029",26.4623381
"RCP 2.6","./mc_output_trial0030",26.87565303
"RCP 2.6","./mc_output_trial0031",26.91837713
"RCP 2.6","./mc_output_trial0032",24.63385872
"RCP 2.6","./mc_output_trial0033",28.76103831
"RCP 2.6","./mc_output_trial0034",29.17742381
"RCP 2.6","./mc_output_trial0035",25.59038178
"RCP 2.6","./mc_output_trial0036",31.81251682
"RCP 2.6","./mc_output_trial0037",28.35312423
"RCP 2.6","./mc_output_trial0038",28.68251935
"RCP 2.6","./mc_output_trial0039",28.046985
"RCP 2.6","./mc_output_trial0040",27.17260207
"RCP 2.6","./mc_output_trial0041",28.0031662
"RCP 2.6","./mc_output_trial0042",26.36804477
"RCP 2.6","./mc_output_trial0043",26.91100717
"RCP 2.6","./mc_output_trial0044",29.66145747
"RCP 2.6","./mc_output_trial0045",27.71240713
"RCP 2.6","./mc_output_trial0046",28.30074905
"RCP 2.6","./mc_output_trial0047",28.7589075
"RCP 2.6","./mc_output_trial0048",26.582232
"RCP 2.6","./mc_output_trial0049",27.70035635
"RCP 2.6","./mc_output_trial0050",28.1863055
"RCP 2.6","./mc_output_trial0051",25.5146593
"RCP 2.6","./mc_output_trial0052",27.547258
"RCP 2.6","./mc_output_trial0053",30.07528855
"RCP 2.6","./mc_output_trial0054",29.95427116
"RCP 2.6","./mc_output_trial0055",27.50913385
"RCP 2.6","./mc_output_trial0056",28.66888362
"RCP 2.6","./mc_output_trial0057",27.5265847
"RCP 2.6","./mc_output_trial0058",29.44941041
"RCP 2.6","./mc_output_trial0059",26.01074854
"RCP 2.6","./mc_output_trial0060",27.41060618
"RCP 2.6","./mc_output_trial0061",25.76829247
"RCP 2.6","./mc_output_trial0062",25.69133505
"RCP 2.6","./mc_output_trial0063",28.29413853
"RCP 2.6","./mc_output_trial0064",27.306681
"RCP 2.6","./mc_output_trial0065",27.00875716
"RCP 2.6","./mc_output_trial0066",28.9350307
"RCP 2.6","./mc_output_trial0067",26.97972371
"RCP 2.6","./mc_output_trial0068",27.481482
"RCP 2.6","./mc_output_trial0069",29.11654751
"RCP 2.6","./mc_output_trial0070",28.0707297
"RCP 2.6","./mc_output_trial0071",28.84208855
"RCP 2.6","./mc_output_trial0072",28.76794858
"RCP 2.6","./mc_output_trial0073",30.6994032
"RCP 2.6","./mc_output_trial0074",27.39442326
"RCP 2.6","./mc_output_trial0075",25.87865765
"RCP 2.6","./mc_output_trial0076",26.76952992
"RCP 2.6","./mc_output_trial0077",28.93211712
"RCP 2.6","./mc_output_trial0078",26.5614542
"RCP 2.6","./mc_output_trial0079",32.4636474
"RCP 2.6","./mc_output_trial0080",27.4557553
"RCP 2.6","./mc_output_trial0081",27.8145729
"RCP 2.6","./mc_output_trial0082",27.356241
"RCP 2.6","./mc_output_trial0083",28.01949952
"RCP 2.6","./mc_output_trial0084",28.26689322
"RCP 2.6","./mc_output_trial0085",26.10220343
