"year.group","mean","percent_05","percent_95","scenario","species"
2012,0.171774436,0.133418025,0.21076087,"Status quo","X2"
2013,0.180427346,0.139575395,0.220829695,"Status quo","X2"
2014,0.1962084672,0.153301915,0.239541395,"Status quo","X2"
2015,0.2174440572,0.16779112,0.2653483,"Status quo","X2"
2016,0.2419196664,0.184102805,0.29887232,"Status quo","X2"
2017,0.2677438196,0.200415145,0.33492239,"Status quo","X2"
2018,0.2930146748,0.216743545,0.37138548,"Status quo","X2"
2019,0.3158484648,0.2306903,0.40436892,"Status quo","X2"
2020,0.3346211496,0.24251877,0.430528235,"Status quo","X2"
2021,0.3482415616,0.252028025,0.46002949,"Status quo","X2"
2022,0.3563785056,0.25748806,0.471311435,"Status quo","X2"
2023,0.3595411252,0.259295055,0.48331911,"Status quo","X2"
2024,0.3589050308,0.260461945,0.473754935,"Status quo","X2"
2025,0.3559399544,0.259703735,0.46422803,"Status quo","X2"
2026,0.3520221672,0.25706866,0.45254035,"Status quo","X2"
2027,0.3481845924,0.25461568,0.442432755,"Status quo","X2"
2028,0.3450451888,0.252951405,0.43702503,"Status quo","X2"
2029,0.3428620008,0.25205013,0.428123095,"Status quo","X2"
2030,0.3416380164,0.251759475,0.426691575,"Status quo","X2"
2031,0.3412235452,0.251883305,0.426813945,"Status quo","X2"
2032,0.3413972104,0.252178035,0.428594595,"Status quo","X2"
2033,0.3419247508,0.25234961,0.431803085,"Status quo","X2"
2034,0.3425986996,0.25257993,0.437058025,"Status quo","X2"
2035,0.3432609676,0.252807855,0.43919619,"Status quo","X2"
2036,0.3438105824,0.252997735,0.44029475,"Status quo","X2"
2037,0.3441999108,0.25313469,0.44092308,"Status quo","X2"
2038,0.3444238276,0.253218615,0.441136545,"Status quo","X2"
2039,0.3445056564,0.25325821,0.441040695,"Status quo","X2"
2040,0.3444835208,0.253265655,0.440757215,"Status quo","X2"
2041,0.3443990024,0.25325344,0.44039715,"Status quo","X2"
2042,0.344289158,0.253232005,0.440046045,"Status quo","X2"
2043,0.3441820776,0.253208855,0.43975896,"Status quo","X2"
2044,0.3440954452,0.2531887,0.4395611,"Status quo","X2"
2045,0.3440373152,0.25317352,0.439454805,"Status quo","X2"
2046,0.3440081668,0.25316371,0.43942655,"Status quo","X2"
2047,0.34400347,0.25315856,0.439454685,"Status quo","X2"
2048,0.3440161428,0.25315695,0.439515555,"Status quo","X2"
2049,0.3440386416,0.253157325,0.439588355,"Status quo","X2"
2050,0.3440643052,0.253158885,0.439657005,"Status quo","X2"
2051,0.3440881716,0.253160745,0.439711535,"Status quo","X2"
2052,0.3441072048,0.25316238,0.43974754,"Status quo","X2"
2053,0.344120146,0.253163595,0.439765295,"Status quo","X2"
2054,0.3441271532,0.253164425,0.439767805,"Status quo","X2"
2055,0.344129252,0.253164765,0.43975975,"Status quo","X2"
2056,0.344127922,0.25316494,0.43974596,"Status quo","X2"
2057,0.344124696,0.253164915,0.43973075,"Status quo","X2"
2058,0.3441208876,0.253164875,0.43971702,"Status quo","X2"
2059,0.3441174592,0.253164775,0.43970659,"Status quo","X2"
2060,0.344114984,0.25316477,0.439700225,"Status quo","X2"
2061,0.3441136768,0.253164695,0.439697465,"Status quo","X2"
2062,0.344113492,0.253164695,0.439697685,"Status quo","X2"
